"sample","fastq_1","fastq_2","run_accession","experiment_accession","sample_accession","secondary_sample_accession","study_accession","secondary_study_accession","submission_accession","run_alias","experiment_alias","sample_alias","study_alias","library_layout","library_selection","library_source","library_strategy","library_name","instrument_model","instrument_platform","base_count","read_count","tax_id","scientific_name","sample_title","experiment_title","study_title","sample_description","fastq_md5","fastq_bytes","fastq_ftp","fastq_galaxy","fastq_aspera"
"SRX30572818","results/fastq/SRX30572818_SRR35496784_1.fastq.gz","results/fastq/SRX30572818_SRR35496784_2.fastq.gz","SRR35496784","SRX30572818","SAMN51585467","SRS26602259","PRJNA1330758","SRP621889","SRA2225930","GSM9246582_r1","GSM9246582_r1","GSM9246582","GSE308487","PAIRED","other","OTHER","RIP-Seq","GSM9246582","Illumina NovaSeq 6000","ILLUMINA","7149173822","23672761","9606","Homo sapiens","HT-29, mock, Z22, 1 [B831009]","Illumina NovaSeq 6000 sequencing: GSM9246582: HT-29, mock, Z22, 1 [B831009] Homo sapiens RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [HT-29]","HT-29, mock, Z22, 1 [B831009]","8f3c33b4b9418eb064271e26953738ba;64fb4ab2212597b9426c44d19de4efa4","1617880364;1681563740","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/084/SRR35496784/SRR35496784_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/084/SRR35496784/SRR35496784_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/084/SRR35496784/SRR35496784_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/084/SRR35496784/SRR35496784_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/084/SRR35496784/SRR35496784_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/084/SRR35496784/SRR35496784_2.fastq.gz"
"SRX30572818","results/fastq/SRX30572818_SRR35496785_1.fastq.gz","results/fastq/SRX30572818_SRR35496785_2.fastq.gz","SRR35496785","SRX30572818","SAMN51585467","SRS26602259","PRJNA1330758","SRP621889","SRA2225930","GSM9246582_r2","GSM9246582_r1","GSM9246582","GSE308487","PAIRED","other","OTHER","RIP-Seq","GSM9246582","Illumina NovaSeq 6000","ILLUMINA","7002654294","23187597","9606","Homo sapiens","HT-29, mock, Z22, 1 [B831009]","Illumina NovaSeq 6000 sequencing: GSM9246582: HT-29, mock, Z22, 1 [B831009] Homo sapiens RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [HT-29]","HT-29, mock, Z22, 1 [B831009]","e18866ad1334a7021f46eb7d57563326;a339d7d34cabf0c0537c74dd4f953b37","1582465196;1646115809","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/085/SRR35496785/SRR35496785_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/085/SRR35496785/SRR35496785_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/085/SRR35496785/SRR35496785_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/085/SRR35496785/SRR35496785_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/085/SRR35496785/SRR35496785_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/085/SRR35496785/SRR35496785_2.fastq.gz"
"SRX30572818","results/fastq/SRX30572818_SRR35496786_1.fastq.gz","results/fastq/SRX30572818_SRR35496786_2.fastq.gz","SRR35496786","SRX30572818","SAMN51585467","SRS26602259","PRJNA1330758","SRP621889","SRA2225930","GSM9246582_r3","GSM9246582_r1","GSM9246582","GSE308487","PAIRED","other","OTHER","RIP-Seq","GSM9246582","Illumina NovaSeq 6000","ILLUMINA","7196242636","23828618","9606","Homo sapiens","HT-29, mock, Z22, 1 [B831009]","Illumina NovaSeq 6000 sequencing: GSM9246582: HT-29, mock, Z22, 1 [B831009] Homo sapiens RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [HT-29]","HT-29, mock, Z22, 1 [B831009]","eb07ba0e3afe4718845fc209e6047430;e6febe52d6bf64ff8ca3a6ef8e962e58","1426672732;1472711354","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/086/SRR35496786/SRR35496786_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/086/SRR35496786/SRR35496786_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/086/SRR35496786/SRR35496786_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/086/SRR35496786/SRR35496786_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/086/SRR35496786/SRR35496786_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/086/SRR35496786/SRR35496786_2.fastq.gz"
"SRX30572818","results/fastq/SRX30572818_SRR35496787_1.fastq.gz","results/fastq/SRX30572818_SRR35496787_2.fastq.gz","SRR35496787","SRX30572818","SAMN51585467","SRS26602259","PRJNA1330758","SRP621889","SRA2225930","GSM9246582_r4","GSM9246582_r1","GSM9246582","GSE308487","PAIRED","other","OTHER","RIP-Seq","GSM9246582","Illumina NovaSeq 6000","ILLUMINA","7145474322","23660511","9606","Homo sapiens","HT-29, mock, Z22, 1 [B831009]","Illumina NovaSeq 6000 sequencing: GSM9246582: HT-29, mock, Z22, 1 [B831009] Homo sapiens RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [HT-29]","HT-29, mock, Z22, 1 [B831009]","3b2b4f64168fb0b010daf609a09c84bf;b95a1e04c47312b6c51d6b2b6a6d2cc5","1422538943;1471313200","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/087/SRR35496787/SRR35496787_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/087/SRR35496787/SRR35496787_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/087/SRR35496787/SRR35496787_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/087/SRR35496787/SRR35496787_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/087/SRR35496787/SRR35496787_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/087/SRR35496787/SRR35496787_2.fastq.gz"
"SRX30572819","results/fastq/SRX30572819_SRR35496780_1.fastq.gz","results/fastq/SRX30572819_SRR35496780_2.fastq.gz","SRR35496780","SRX30572819","SAMN51585466","SRS26602261","PRJNA1330758","SRP621889","SRA2225930","GSM9246583_r1","GSM9246583_r1","GSM9246583","GSE308487","PAIRED","other","OTHER","RIP-Seq","GSM9246583","Illumina NovaSeq 6000","ILLUMINA","6951483414","23018157","9606","Homo sapiens","HT-29, mock, Z22, 2 [B831009]","Illumina NovaSeq 6000 sequencing: GSM9246583: HT-29, mock, Z22, 2 [B831009] Homo sapiens RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [HT-29]","HT-29, mock, Z22, 2 [B831009]","2f28b8faee1f4e265ef0f36be14c192d;48600f329a3ac4d31ab06c399b426abf","1403276996;1495035949","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/080/SRR35496780/SRR35496780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/080/SRR35496780/SRR35496780_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/080/SRR35496780/SRR35496780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/080/SRR35496780/SRR35496780_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/080/SRR35496780/SRR35496780_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/080/SRR35496780/SRR35496780_2.fastq.gz"
"SRX30572819","results/fastq/SRX30572819_SRR35496781_1.fastq.gz","results/fastq/SRX30572819_SRR35496781_2.fastq.gz","SRR35496781","SRX30572819","SAMN51585466","SRS26602261","PRJNA1330758","SRP621889","SRA2225930","GSM9246583_r2","GSM9246583_r1","GSM9246583","GSE308487","PAIRED","other","OTHER","RIP-Seq","GSM9246583","Illumina NovaSeq 6000","ILLUMINA","6927805406","22939753","9606","Homo sapiens","HT-29, mock, Z22, 2 [B831009]","Illumina NovaSeq 6000 sequencing: GSM9246583: HT-29, mock, Z22, 2 [B831009] Homo sapiens RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [HT-29]","HT-29, mock, Z22, 2 [B831009]","c9d5729e60cb0494f7b2abb79f959246;0d34dc49a803deaecfa2a70334162724","1404556221;1496973579","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/081/SRR35496781/SRR35496781_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/081/SRR35496781/SRR35496781_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/081/SRR35496781/SRR35496781_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/081/SRR35496781/SRR35496781_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/081/SRR35496781/SRR35496781_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/081/SRR35496781/SRR35496781_2.fastq.gz"
"SRX30572819","results/fastq/SRX30572819_SRR35496782_1.fastq.gz","results/fastq/SRX30572819_SRR35496782_2.fastq.gz","SRR35496782","SRX30572819","SAMN51585466","SRS26602261","PRJNA1330758","SRP621889","SRA2225930","GSM9246583_r3","GSM9246583_r1","GSM9246583","GSE308487","PAIRED","other","OTHER","RIP-Seq","GSM9246583","Illumina NovaSeq 6000","ILLUMINA","6466083646","21410873","9606","Homo sapiens","HT-29, mock, Z22, 2 [B831009]","Illumina NovaSeq 6000 sequencing: GSM9246583: HT-29, mock, Z22, 2 [B831009] Homo sapiens RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [HT-29]","HT-29, mock, Z22, 2 [B831009]","51a9dec63190fbc1cf67c004e0178e3b;e6098cb601e481f93c9cc1dd0ffdecef","1482639829;1510847635","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/082/SRR35496782/SRR35496782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/082/SRR35496782/SRR35496782_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/082/SRR35496782/SRR35496782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/082/SRR35496782/SRR35496782_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/082/SRR35496782/SRR35496782_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/082/SRR35496782/SRR35496782_2.fastq.gz"
"SRX30572819","results/fastq/SRX30572819_SRR35496783_1.fastq.gz","results/fastq/SRX30572819_SRR35496783_2.fastq.gz","SRR35496783","SRX30572819","SAMN51585466","SRS26602261","PRJNA1330758","SRP621889","SRA2225930","GSM9246583_r4","GSM9246583_r1","GSM9246583","GSE308487","PAIRED","other","OTHER","RIP-Seq","GSM9246583","Illumina NovaSeq 6000","ILLUMINA","6396032934","21178917","9606","Homo sapiens","HT-29, mock, Z22, 2 [B831009]","Illumina NovaSeq 6000 sequencing: GSM9246583: HT-29, mock, Z22, 2 [B831009] Homo sapiens RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [HT-29]","HT-29, mock, Z22, 2 [B831009]","2b655717d6022ad3ecb41c6d30ab1bd1;3be48bfd1365d8795cbbb9ab0f4f7ca6","1464411790;1491509065","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/083/SRR35496783/SRR35496783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/083/SRR35496783/SRR35496783_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/083/SRR35496783/SRR35496783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/083/SRR35496783/SRR35496783_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/083/SRR35496783/SRR35496783_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/083/SRR35496783/SRR35496783_2.fastq.gz"
"SRX30572820","results/fastq/SRX30572820_SRR35496776_1.fastq.gz","results/fastq/SRX30572820_SRR35496776_2.fastq.gz","SRR35496776","SRX30572820","SAMN51585465","SRS26602260","PRJNA1330758","SRP621889","SRA2225930","GSM9246584_r1","GSM9246584_r1","GSM9246584","GSE308487","PAIRED","other","OTHER","RIP-Seq","GSM9246584","Illumina NovaSeq 6000","ILLUMINA","8795210024","29123212","9606","Homo sapiens","HT-29, mock, Z22, 3 [B831009]","Illumina NovaSeq 6000 sequencing: GSM9246584: HT-29, mock, Z22, 3 [B831009] Homo sapiens RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [HT-29]","HT-29, mock, Z22, 3 [B831009]","ba3860e7a4c827317d01a13f6cad8fb0;7e2870475168765e887945904481c7da","1999186536;2064769941","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/076/SRR35496776/SRR35496776_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/076/SRR35496776/SRR35496776_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/076/SRR35496776/SRR35496776_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/076/SRR35496776/SRR35496776_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/076/SRR35496776/SRR35496776_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/076/SRR35496776/SRR35496776_2.fastq.gz"
"SRX30572820","results/fastq/SRX30572820_SRR35496777_1.fastq.gz","results/fastq/SRX30572820_SRR35496777_2.fastq.gz","SRR35496777","SRX30572820","SAMN51585465","SRS26602260","PRJNA1330758","SRP621889","SRA2225930","GSM9246584_r2","GSM9246584_r1","GSM9246584","GSE308487","PAIRED","other","OTHER","RIP-Seq","GSM9246584","Illumina NovaSeq 6000","ILLUMINA","8667934540","28701770","9606","Homo sapiens","HT-29, mock, Z22, 3 [B831009]","Illumina NovaSeq 6000 sequencing: GSM9246584: HT-29, mock, Z22, 3 [B831009] Homo sapiens RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [HT-29]","HT-29, mock, Z22, 3 [B831009]","68e0049c5944a3bda8c68da0efcc8968;013e2af94ac16504c3feb54c6649db62","1966059256;2032154284","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/077/SRR35496777/SRR35496777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/077/SRR35496777/SRR35496777_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/077/SRR35496777/SRR35496777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/077/SRR35496777/SRR35496777_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/077/SRR35496777/SRR35496777_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/077/SRR35496777/SRR35496777_2.fastq.gz"
