sample,fastq_1,fastq_2,strandedness
SRX2733670+MDM_418_mock_3h_1,fastq/SRX2733670_SRR5444611_1.fastq.gz,fastq/SRX2733670_SRR5444611_2.fastq.gz,reverse
SRX2733671+MDM_418_mock_3h_2,fastq/SRX2733671_SRR5444612_1.fastq.gz,fastq/SRX2733671_SRR5444612_2.fastq.gz,reverse
SRX2733672+MDM_418_H3N2_3h_1,fastq/SRX2733672_SRR5444613_1.fastq.gz,fastq/SRX2733672_SRR5444613_2.fastq.gz,reverse
SRX2733673+MDM_418_H3N2_3h_2,fastq/SRX2733673_SRR5444614_1.fastq.gz,fastq/SRX2733673_SRR5444614_2.fastq.gz,reverse
SRX2733674+MDM_418_mock_6h_1,fastq/SRX2733674_SRR5444615_1.fastq.gz,fastq/SRX2733674_SRR5444615_2.fastq.gz,reverse
SRX2733675+MDM_418_mock_6h_2,fastq/SRX2733675_SRR5444616_1.fastq.gz,fastq/SRX2733675_SRR5444616_2.fastq.gz,reverse
SRX2733676+MDM_418_H3N2_6h_1,fastq/SRX2733676_SRR5444617_1.fastq.gz,fastq/SRX2733676_SRR5444617_2.fastq.gz,reverse
SRX2733677+MDM_418_H3N2_6h_2,fastq/SRX2733677_SRR5444618_1.fastq.gz,fastq/SRX2733677_SRR5444618_2.fastq.gz,reverse
SRX2733678+MDM_418_mock_12h_1,fastq/SRX2733678_SRR5444619_1.fastq.gz,fastq/SRX2733678_SRR5444619_2.fastq.gz,reverse
SRX2733679+MDM_418_mock_12h_2,fastq/SRX2733679_SRR5444620_1.fastq.gz,fastq/SRX2733679_SRR5444620_2.fastq.gz,reverse
SRX2733680+MDM_418_H3N2_12h_1,fastq/SRX2733680_SRR5444621_1.fastq.gz,fastq/SRX2733680_SRR5444621_2.fastq.gz,reverse
SRX2733681+MDM_418_H3N2_12h_2,fastq/SRX2733681_SRR5444622_1.fastq.gz,fastq/SRX2733681_SRR5444622_2.fastq.gz,reverse
SRX2733682+MDM_418_mock_18h_1,fastq/SRX2733682_SRR5444623_1.fastq.gz,fastq/SRX2733682_SRR5444623_2.fastq.gz,reverse
SRX2733683+MDM_418_mock_18h_2,fastq/SRX2733683_SRR5444624_1.fastq.gz,fastq/SRX2733683_SRR5444624_2.fastq.gz,reverse
SRX2733684+MDM_418_H3N2_18h_1,fastq/SRX2733684_SRR5444625_1.fastq.gz,fastq/SRX2733684_SRR5444625_2.fastq.gz,reverse
SRX2733685+MDM_418_H3N2_18h_2,fastq/SRX2733685_SRR5444626_1.fastq.gz,fastq/SRX2733685_SRR5444626_2.fastq.gz,reverse
SRX2733686+MDM_513_mock_3h_1,fastq/SRX2733686_SRR5444627_1.fastq.gz,fastq/SRX2733686_SRR5444627_2.fastq.gz,reverse
SRX2733687+MDM_513_mock_3h_2,fastq/SRX2733687_SRR5444628_1.fastq.gz,fastq/SRX2733687_SRR5444628_2.fastq.gz,reverse
SRX2733688+MDM_513_H5N1_3h_1,fastq/SRX2733688_SRR5444629_1.fastq.gz,fastq/SRX2733688_SRR5444629_2.fastq.gz,reverse
SRX2733689+MDM_513_H5N1_3h_2,fastq/SRX2733689_SRR5444630_1.fastq.gz,fastq/SRX2733689_SRR5444630_2.fastq.gz,reverse
SRX2733690+MDM_513_mock_6h_1,fastq/SRX2733690_SRR5444631_1.fastq.gz,fastq/SRX2733690_SRR5444631_2.fastq.gz,reverse
SRX2733691+MDM_513_mock_6h_2,fastq/SRX2733691_SRR5444632_1.fastq.gz,fastq/SRX2733691_SRR5444632_2.fastq.gz,reverse
SRX2733692+MDM_513_H5N1_6h_1,fastq/SRX2733692_SRR5444633_1.fastq.gz,fastq/SRX2733692_SRR5444633_2.fastq.gz,reverse
SRX2733693+MDM_513_H5N1_6h_2,fastq/SRX2733693_SRR5444634_1.fastq.gz,fastq/SRX2733693_SRR5444634_2.fastq.gz,reverse
SRX2733694+MDM_513_mock_12h_1,fastq/SRX2733694_SRR5444635_1.fastq.gz,fastq/SRX2733694_SRR5444635_2.fastq.gz,reverse
SRX2733695+MDM_513_mock_12h_2,fastq/SRX2733695_SRR5444636_1.fastq.gz,fastq/SRX2733695_SRR5444636_2.fastq.gz,reverse
SRX2733696+MDM_513_H5N1_12h_1,fastq/SRX2733696_SRR5444637_1.fastq.gz,fastq/SRX2733696_SRR5444637_2.fastq.gz,reverse
SRX2733697+MDM_513_H5N1_12h_2,fastq/SRX2733697_SRR5444638_1.fastq.gz,fastq/SRX2733697_SRR5444638_2.fastq.gz,reverse
SRX2733698+MDM_513_mock_18h_1,fastq/SRX2733698_SRR5444639_1.fastq.gz,fastq/SRX2733698_SRR5444639_2.fastq.gz,reverse
SRX2733699+MDM_513_mock_18h_2,fastq/SRX2733699_SRR5444640_1.fastq.gz,fastq/SRX2733699_SRR5444640_2.fastq.gz,reverse
SRX2733700+MDM_513_H5N1_18h_1,fastq/SRX2733700_SRR5444641_1.fastq.gz,fastq/SRX2733700_SRR5444641_2.fastq.gz,reverse
SRX2733701+MDM_513_H5N1_18h_2,fastq/SRX2733701_SRR5444642_1.fastq.gz,fastq/SRX2733701_SRR5444642_2.fastq.gz,reverse
SRX2733702+MDM_520_mock_3h_1,fastq/SRX2733702_SRR5444643_1.fastq.gz,fastq/SRX2733702_SRR5444643_2.fastq.gz,reverse
SRX2733703+MDM_520_mock_3h_2,fastq/SRX2733703_SRR5444644_1.fastq.gz,fastq/SRX2733703_SRR5444644_2.fastq.gz,reverse
SRX2733704+MDM_520_H5N1_3h_1,fastq/SRX2733704_SRR5444645_1.fastq.gz,fastq/SRX2733704_SRR5444645_2.fastq.gz,reverse
SRX2733705+MDM_520_H5N1_3h_2,fastq/SRX2733705_SRR5444646_1.fastq.gz,fastq/SRX2733705_SRR5444646_2.fastq.gz,reverse
SRX2733706+MDM_520_mock_6h_1,fastq/SRX2733706_SRR5444647_1.fastq.gz,fastq/SRX2733706_SRR5444647_2.fastq.gz,reverse
SRX2733707+MDM_520_mock_6h_2,fastq/SRX2733707_SRR5444648_1.fastq.gz,fastq/SRX2733707_SRR5444648_2.fastq.gz,reverse
SRX2733708+MDM_520_H5N1_6h_1,fastq/SRX2733708_SRR5444649_1.fastq.gz,fastq/SRX2733708_SRR5444649_2.fastq.gz,reverse
SRX2733709+MDM_520_H5N1_6h_2,fastq/SRX2733709_SRR5444650_1.fastq.gz,fastq/SRX2733709_SRR5444650_2.fastq.gz,reverse
SRX2733710+MDM_520_mock_12h_1,fastq/SRX2733710_SRR5444651_1.fastq.gz,fastq/SRX2733710_SRR5444651_2.fastq.gz,reverse
SRX2733711+MDM_520_mock_12h_2,fastq/SRX2733711_SRR5444652_1.fastq.gz,fastq/SRX2733711_SRR5444652_2.fastq.gz,reverse
SRX2733712+MDM_520_H5N1_12h_1,fastq/SRX2733712_SRR5444653_1.fastq.gz,fastq/SRX2733712_SRR5444653_2.fastq.gz,reverse
SRX2733713+MDM_520_H5N1_12h_2,fastq/SRX2733713_SRR5444654_1.fastq.gz,fastq/SRX2733713_SRR5444654_2.fastq.gz,reverse
SRX2733714+MDM_520_mock_18h_1,fastq/SRX2733714_SRR5444655_1.fastq.gz,fastq/SRX2733714_SRR5444655_2.fastq.gz,reverse
SRX2733715+MDM_520_mock_18h_2,fastq/SRX2733715_SRR5444656_1.fastq.gz,fastq/SRX2733715_SRR5444656_2.fastq.gz,reverse
SRX2733716+MDM_520_H5N1_18h_1,fastq/SRX2733716_SRR5444657_1.fastq.gz,fastq/SRX2733716_SRR5444657_2.fastq.gz,reverse
SRX2733717+MDM_520_H5N1_18h_2,fastq/SRX2733717_SRR5444658_1.fastq.gz,fastq/SRX2733717_SRR5444658_2.fastq.gz,reverse
SRX2733718+MDM_315_mock_3h_1,fastq/SRX2733718_SRR5444659_1.fastq.gz,fastq/SRX2733718_SRR5444659_2.fastq.gz,reverse
SRX2733719+MDM_315_mock_3h_2,fastq/SRX2733719_SRR5444660_1.fastq.gz,fastq/SRX2733719_SRR5444660_2.fastq.gz,reverse
SRX2733720+MDM_315_H1N1_3h_1,fastq/SRX2733720_SRR5444661_1.fastq.gz,fastq/SRX2733720_SRR5444661_2.fastq.gz,reverse
SRX2733721+MDM_315_H1N1_3h_2,fastq/SRX2733721_SRR5444662_1.fastq.gz,fastq/SRX2733721_SRR5444662_2.fastq.gz,reverse
SRX2733722+MDM_315_mock_6h_1,fastq/SRX2733722_SRR5444663_1.fastq.gz,fastq/SRX2733722_SRR5444663_2.fastq.gz,reverse
SRX2733723+MDM_315_mock_6h_2,fastq/SRX2733723_SRR5444664_1.fastq.gz,fastq/SRX2733723_SRR5444664_2.fastq.gz,reverse
SRX2733724+MDM_315_H1N1_6h_1,fastq/SRX2733724_SRR5444665_1.fastq.gz,fastq/SRX2733724_SRR5444665_2.fastq.gz,reverse
SRX2733725+MDM_315_H1N1_6h_2,fastq/SRX2733725_SRR5444666_1.fastq.gz,fastq/SRX2733725_SRR5444666_2.fastq.gz,reverse
SRX2733726+MDM_315_mock_12h_1,fastq/SRX2733726_SRR5444667_1.fastq.gz,fastq/SRX2733726_SRR5444667_2.fastq.gz,reverse
SRX2733727+MDM_315_mock_12h_2,fastq/SRX2733727_SRR5444668_1.fastq.gz,fastq/SRX2733727_SRR5444668_2.fastq.gz,reverse
SRX2733728+MDM_315_H1N1_12h_1,fastq/SRX2733728_SRR5444669_1.fastq.gz,fastq/SRX2733728_SRR5444669_2.fastq.gz,reverse
SRX2733729+MDM_315_H1N1_12h_2,fastq/SRX2733729_SRR5444670_1.fastq.gz,fastq/SRX2733729_SRR5444670_2.fastq.gz,reverse
SRX2733730+MDM_315_mock_18h_1,fastq/SRX2733730_SRR5444671_1.fastq.gz,fastq/SRX2733730_SRR5444671_2.fastq.gz,reverse
SRX2733731+MDM_315_mock_18h_2,fastq/SRX2733731_SRR5444672_1.fastq.gz,fastq/SRX2733731_SRR5444672_2.fastq.gz,reverse
SRX2733732+MDM_315_H1N1_18h_1,fastq/SRX2733732_SRR5444673_1.fastq.gz,fastq/SRX2733732_SRR5444673_2.fastq.gz,reverse
SRX2733733+MDM_315_H1N1_18h_2,fastq/SRX2733733_SRR5444674_1.fastq.gz,fastq/SRX2733733_SRR5444674_2.fastq.gz,reverse
