"sample","fastq_1","fastq_2","run_accession","experiment_accession","sample_accession","secondary_sample_accession","study_accession","secondary_study_accession","submission_accession","run_alias","experiment_alias","sample_alias","study_alias","library_layout","library_selection","library_source","library_strategy","library_name","instrument_model","instrument_platform","base_count","read_count","tax_id","scientific_name","sample_title","experiment_title","study_title","sample_description","fastq_md5","fastq_bytes","fastq_ftp","fastq_galaxy","fastq_aspera"
"SRX30572635","results/fastq/SRX30572635_SRR35496309_1.fastq.gz","results/fastq/SRX30572635_SRR35496309_2.fastq.gz","SRR35496309","SRX30572635","SAMN51585572","SRS26602078","PRJNA1330757","SRP621882","SRA2225931","GSM9246666_r1","GSM9246666_r1","GSM9246666","GSE308488","PAIRED","other","OTHER","RIP-Seq","GSM9246666","Illumina NovaSeq 6000","ILLUMINA","10694860088","35413444","10090","Mus musculus","MEF, mock, FLAG, 1 [B319096]","Illumina NovaSeq 6000 sequencing: GSM9246666: MEF, mock, FLAG, 1 [B319096] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, mock, FLAG, 1 [B319096]","f4eef33074365112f185185d3f7834af;6e3559a7c32e86961664d70cdfce7132","2354259746;2494411311","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/009/SRR35496309/SRR35496309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/009/SRR35496309/SRR35496309_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/009/SRR35496309/SRR35496309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/009/SRR35496309/SRR35496309_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/009/SRR35496309/SRR35496309_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/009/SRR35496309/SRR35496309_2.fastq.gz"
"SRX30572635","results/fastq/SRX30572635_SRR35496310_1.fastq.gz","results/fastq/SRX30572635_SRR35496310_2.fastq.gz","SRR35496310","SRX30572635","SAMN51585572","SRS26602078","PRJNA1330757","SRP621882","SRA2225931","GSM9246666_r2","GSM9246666_r1","GSM9246666","GSE308488","PAIRED","other","OTHER","RIP-Seq","GSM9246666","Illumina NovaSeq 6000","ILLUMINA","12202495428","40405614","10090","Mus musculus","MEF, mock, FLAG, 1 [B319096]","Illumina NovaSeq 6000 sequencing: GSM9246666: MEF, mock, FLAG, 1 [B319096] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, mock, FLAG, 1 [B319096]","b7a3473a53a45be5d8a7c55abcc890bb;49fadc437dae845b63f298683fc26806","2491203334;2533929642","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/010/SRR35496310/SRR35496310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/010/SRR35496310/SRR35496310_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/010/SRR35496310/SRR35496310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/010/SRR35496310/SRR35496310_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/010/SRR35496310/SRR35496310_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/010/SRR35496310/SRR35496310_2.fastq.gz"
"SRX30572636","results/fastq/SRX30572636_SRR35496307_1.fastq.gz","results/fastq/SRX30572636_SRR35496307_2.fastq.gz","SRR35496307","SRX30572636","SAMN51585571","SRS26602077","PRJNA1330757","SRP621882","SRA2225931","GSM9246667_r1","GSM9246667_r1","GSM9246667","GSE308488","PAIRED","other","OTHER","RIP-Seq","GSM9246667","Illumina NovaSeq 6000","ILLUMINA","8585435992","28428596","10090","Mus musculus","MEF, mock, FLAG, 2 [B319096]","Illumina NovaSeq 6000 sequencing: GSM9246667: MEF, mock, FLAG, 2 [B319096] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, mock, FLAG, 2 [B319096]","49572c83e8f38176ae87531dc4879bee;70591b94207984c3e9035ce2f05cfeca","1902303863;1968229107","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/007/SRR35496307/SRR35496307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/007/SRR35496307/SRR35496307_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/007/SRR35496307/SRR35496307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/007/SRR35496307/SRR35496307_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/007/SRR35496307/SRR35496307_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/007/SRR35496307/SRR35496307_2.fastq.gz"
"SRX30572636","results/fastq/SRX30572636_SRR35496308_1.fastq.gz","results/fastq/SRX30572636_SRR35496308_2.fastq.gz","SRR35496308","SRX30572636","SAMN51585571","SRS26602077","PRJNA1330757","SRP621882","SRA2225931","GSM9246667_r2","GSM9246667_r1","GSM9246667","GSE308488","PAIRED","other","OTHER","RIP-Seq","GSM9246667","Illumina NovaSeq 6000","ILLUMINA","11233664328","37197564","10090","Mus musculus","MEF, mock, FLAG, 2 [B319096]","Illumina NovaSeq 6000 sequencing: GSM9246667: MEF, mock, FLAG, 2 [B319096] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, mock, FLAG, 2 [B319096]","e8d493980a2f1bd5784ab4de70702128;99778604bcd2c59252ef72452641050f","2325617219;2370776943","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/008/SRR35496308/SRR35496308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/008/SRR35496308/SRR35496308_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/008/SRR35496308/SRR35496308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/008/SRR35496308/SRR35496308_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/008/SRR35496308/SRR35496308_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/008/SRR35496308/SRR35496308_2.fastq.gz"
"SRX30572637","results/fastq/SRX30572637_SRR35496305_1.fastq.gz","results/fastq/SRX30572637_SRR35496305_2.fastq.gz","SRR35496305","SRX30572637","SAMN51585570","SRS26602081","PRJNA1330757","SRP621882","SRA2225931","GSM9246668_r1","GSM9246668_r1","GSM9246668","GSE308488","PAIRED","other","OTHER","RIP-Seq","GSM9246668","Illumina NovaSeq 6000","ILLUMINA","9277017502","30718601","10090","Mus musculus","MEF, HSV-1, FLAG, 1 [B319096]","Illumina NovaSeq 6000 sequencing: GSM9246668: MEF, HSV-1, FLAG, 1 [B319096] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, HSV-1, FLAG, 1 [B319096]","ed7243533b84dca8f6e4695bfc39045e;1b8fc0369ac8b6feb88a9b31dd25890f","2003085289;2073959116","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/005/SRR35496305/SRR35496305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/005/SRR35496305/SRR35496305_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/005/SRR35496305/SRR35496305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/005/SRR35496305/SRR35496305_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/005/SRR35496305/SRR35496305_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/005/SRR35496305/SRR35496305_2.fastq.gz"
"SRX30572637","results/fastq/SRX30572637_SRR35496306_1.fastq.gz","results/fastq/SRX30572637_SRR35496306_2.fastq.gz","SRR35496306","SRX30572637","SAMN51585570","SRS26602081","PRJNA1330757","SRP621882","SRA2225931","GSM9246668_r2","GSM9246668_r1","GSM9246668","GSE308488","PAIRED","other","OTHER","RIP-Seq","GSM9246668","Illumina NovaSeq 6000","ILLUMINA","11532310014","38186457","10090","Mus musculus","MEF, HSV-1, FLAG, 1 [B319096]","Illumina NovaSeq 6000 sequencing: GSM9246668: MEF, HSV-1, FLAG, 1 [B319096] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, HSV-1, FLAG, 1 [B319096]","f9d01558475cda802183171646a7f4e1;5a207852243b9b526d46fae87928a8b8","2319234129;2360770842","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/006/SRR35496306/SRR35496306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/006/SRR35496306/SRR35496306_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/006/SRR35496306/SRR35496306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/006/SRR35496306/SRR35496306_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/006/SRR35496306/SRR35496306_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/006/SRR35496306/SRR35496306_2.fastq.gz"
"SRX30572646","results/fastq/SRX30572646_SRR35496271_1.fastq.gz","results/fastq/SRX30572646_SRR35496271_2.fastq.gz","SRR35496271","SRX30572646","SAMN51585569","SRS26602088","PRJNA1330757","SRP621882","SRA2225931","GSM9246669_r1","GSM9246669_r1","GSM9246669","GSE308488","PAIRED","other","OTHER","RIP-Seq","GSM9246669","Illumina NovaSeq 6000","ILLUMINA","8849011022","29301361","10090","Mus musculus","MEF, HSV-1, FLAG, 2 [B319096]","Illumina NovaSeq 6000 sequencing: GSM9246669: MEF, HSV-1, FLAG, 2 [B319096] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, HSV-1, FLAG, 2 [B319096]","8539322af850b4086ae1f3f521039c31;2744abaadada8c2a03f4a87239a2da0e","1977143576;2071156087","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/071/SRR35496271/SRR35496271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/071/SRR35496271/SRR35496271_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/071/SRR35496271/SRR35496271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/071/SRR35496271/SRR35496271_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/071/SRR35496271/SRR35496271_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/071/SRR35496271/SRR35496271_2.fastq.gz"
"SRX30572646","results/fastq/SRX30572646_SRR35496272_1.fastq.gz","results/fastq/SRX30572646_SRR35496272_2.fastq.gz","SRR35496272","SRX30572646","SAMN51585569","SRS26602088","PRJNA1330757","SRP621882","SRA2225931","GSM9246669_r2","GSM9246669_r1","GSM9246669","GSE308488","PAIRED","other","OTHER","RIP-Seq","GSM9246669","Illumina NovaSeq 6000","ILLUMINA","11297354920","37408460","10090","Mus musculus","MEF, HSV-1, FLAG, 2 [B319096]","Illumina NovaSeq 6000 sequencing: GSM9246669: MEF, HSV-1, FLAG, 2 [B319096] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, HSV-1, FLAG, 2 [B319096]","5d2db6440a3400b0eda4500235963607;fabf300e3b0d64737a620deee51f8ff8","2345013275;2393006160","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/072/SRR35496272/SRR35496272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/072/SRR35496272/SRR35496272_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/072/SRR35496272/SRR35496272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/072/SRR35496272/SRR35496272_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/072/SRR35496272/SRR35496272_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/072/SRR35496272/SRR35496272_2.fastq.gz"
"SRX30572647","results/fastq/SRX30572647_SRR35496269_1.fastq.gz","results/fastq/SRX30572647_SRR35496269_2.fastq.gz","SRR35496269","SRX30572647","SAMN51585568","SRS26602091","PRJNA1330757","SRP621882","SRA2225931","GSM9246670_r1","GSM9246670_r1","GSM9246670","GSE308488","PAIRED","other","OTHER","RIP-Seq","GSM9246670","Illumina NovaSeq 6000","ILLUMINA","8982564482","29743591","10090","Mus musculus","MEF, HSV-1, FLAG, 3 [B319096]","Illumina NovaSeq 6000 sequencing: GSM9246670: MEF, HSV-1, FLAG, 3 [B319096] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, HSV-1, FLAG, 3 [B319096]","2e958043b1c78c30d85b9a78dee286ca;36e50a0d80a6d0e2a4b35bbde50da795","1813008271;1893573436","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/069/SRR35496269/SRR35496269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/069/SRR35496269/SRR35496269_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/069/SRR35496269/SRR35496269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/069/SRR35496269/SRR35496269_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/069/SRR35496269/SRR35496269_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/069/SRR35496269/SRR35496269_2.fastq.gz"
"SRX30572647","results/fastq/SRX30572647_SRR35496270_1.fastq.gz","results/fastq/SRX30572647_SRR35496270_2.fastq.gz","SRR35496270","SRX30572647","SAMN51585568","SRS26602091","PRJNA1330757","SRP621882","SRA2225931","GSM9246670_r2","GSM9246670_r1","GSM9246670","GSE308488","PAIRED","other","OTHER","RIP-Seq","GSM9246670","Illumina NovaSeq 6000","ILLUMINA","10850187446","35927773","10090","Mus musculus","MEF, HSV-1, FLAG, 3 [B319096]","Illumina NovaSeq 6000 sequencing: GSM9246670: MEF, HSV-1, FLAG, 3 [B319096] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, HSV-1, FLAG, 3 [B319096]","4bd4feaa75884781f76ca2f995f002a2;61890b324e073f7ffb471b235fdc0767","2037738337;2103130604","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/070/SRR35496270/SRR35496270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/070/SRR35496270/SRR35496270_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/070/SRR35496270/SRR35496270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/070/SRR35496270/SRR35496270_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/070/SRR35496270/SRR35496270_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/070/SRR35496270/SRR35496270_2.fastq.gz"
