"sample","fastq_1","fastq_2","run_accession","experiment_accession","sample_accession","secondary_sample_accession","study_accession","secondary_study_accession","submission_accession","run_alias","experiment_alias","sample_alias","study_alias","library_layout","library_selection","library_source","library_strategy","library_name","instrument_model","instrument_platform","base_count","read_count","tax_id","scientific_name","sample_title","experiment_title","study_title","sample_description","fastq_md5","fastq_bytes","fastq_ftp","fastq_galaxy","fastq_aspera"
"SRX30572607","results/fastq/SRX30572607_SRR35496393_1.fastq.gz","results/fastq/SRX30572607_SRR35496393_2.fastq.gz","SRR35496393","SRX30572607","SAMN51585616","SRS26602049","PRJNA1330757","SRP621882","SRA2225931","GSM9246622_r1","GSM9246622_r1","GSM9246622","GSE308488","PAIRED","other","OTHER","RIP-Seq","GSM9246622","Illumina NovaSeq 6000","ILLUMINA","14333887306","47463203","10090","Mus musculus","MEF, mock, IgG, 1 [B256178]","Illumina NovaSeq 6000 sequencing: GSM9246622: MEF, mock, IgG, 1 [B256178] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, mock, IgG, 1 [B256178]","bba417b2aa61b9c76b91430963976298;b48d91b97cf44571d14df3024bbf8859","2194958496;2482190459","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/093/SRR35496393/SRR35496393_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/093/SRR35496393/SRR35496393_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/093/SRR35496393/SRR35496393_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/093/SRR35496393/SRR35496393_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/093/SRR35496393/SRR35496393_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/093/SRR35496393/SRR35496393_2.fastq.gz"
"SRX30572607","results/fastq/SRX30572607_SRR35496394_1.fastq.gz","results/fastq/SRX30572607_SRR35496394_2.fastq.gz","SRR35496394","SRX30572607","SAMN51585616","SRS26602049","PRJNA1330757","SRP621882","SRA2225931","GSM9246622_r2","GSM9246622_r1","GSM9246622","GSE308488","PAIRED","other","OTHER","RIP-Seq","GSM9246622","Illumina NovaSeq 6000","ILLUMINA","14149017402","46851051","10090","Mus musculus","MEF, mock, IgG, 1 [B256178]","Illumina NovaSeq 6000 sequencing: GSM9246622: MEF, mock, IgG, 1 [B256178] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, mock, IgG, 1 [B256178]","60ba220244806d34e0ec4ba2e3a43ca5;f5a44f29bec2a20a7368a4b68fc92e96","2175073987;2460039921","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/094/SRR35496394/SRR35496394_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/094/SRR35496394/SRR35496394_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/094/SRR35496394/SRR35496394_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/094/SRR35496394/SRR35496394_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/094/SRR35496394/SRR35496394_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/094/SRR35496394/SRR35496394_2.fastq.gz"
"SRX30572607","results/fastq/SRX30572607_SRR35496395_1.fastq.gz","results/fastq/SRX30572607_SRR35496395_2.fastq.gz","SRR35496395","SRX30572607","SAMN51585616","SRS26602049","PRJNA1330757","SRP621882","SRA2225931","GSM9246622_r3","GSM9246622_r1","GSM9246622","GSE308488","PAIRED","other","OTHER","RIP-Seq","GSM9246622","Illumina NovaSeq 6000","ILLUMINA","4811467624","15932012","10090","Mus musculus","MEF, mock, IgG, 1 [B256178]","Illumina NovaSeq 6000 sequencing: GSM9246622: MEF, mock, IgG, 1 [B256178] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, mock, IgG, 1 [B256178]","a7d25a7ab8182822ce35ec9a041baa7a;8713c9f4f2cca03e68e69a7453d03296","825509549;828444873","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/095/SRR35496395/SRR35496395_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/095/SRR35496395/SRR35496395_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/095/SRR35496395/SRR35496395_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/095/SRR35496395/SRR35496395_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/095/SRR35496395/SRR35496395_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/095/SRR35496395/SRR35496395_2.fastq.gz"
"SRX30572607","results/fastq/SRX30572607_SRR35496396_1.fastq.gz","results/fastq/SRX30572607_SRR35496396_2.fastq.gz","SRR35496396","SRX30572607","SAMN51585616","SRS26602049","PRJNA1330757","SRP621882","SRA2225931","GSM9246622_r4","GSM9246622_r1","GSM9246622","GSE308488","PAIRED","other","OTHER","RIP-Seq","GSM9246622","Illumina NovaSeq 6000","ILLUMINA","4808571444","15922422","10090","Mus musculus","MEF, mock, IgG, 1 [B256178]","Illumina NovaSeq 6000 sequencing: GSM9246622: MEF, mock, IgG, 1 [B256178] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, mock, IgG, 1 [B256178]","7e905304a7eb5413b71e73d62bcf45fa;214351bc8a818ec9323dd805b890c2ba","832636730;828710374","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/096/SRR35496396/SRR35496396_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/096/SRR35496396/SRR35496396_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/096/SRR35496396/SRR35496396_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/096/SRR35496396/SRR35496396_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/096/SRR35496396/SRR35496396_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/096/SRR35496396/SRR35496396_2.fastq.gz"
"SRX30572608","results/fastq/SRX30572608_SRR35496389_1.fastq.gz","results/fastq/SRX30572608_SRR35496389_2.fastq.gz","SRR35496389","SRX30572608","SAMN51585615","SRS26602052","PRJNA1330757","SRP621882","SRA2225931","GSM9246623_r1","GSM9246623_r1","GSM9246623","GSE308488","PAIRED","other","OTHER","RIP-Seq","GSM9246623","Illumina NovaSeq 6000","ILLUMINA","11783926750","39019625","10090","Mus musculus","MEF, mock, Z22, 1 [B256178]","Illumina NovaSeq 6000 sequencing: GSM9246623: MEF, mock, Z22, 1 [B256178] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, mock, Z22, 1 [B256178]","70aacb3997ee1ad0f279e29441a814c5;d7b8196418a0db2474b65104ba5657e3","2376011739;2625705934","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/089/SRR35496389/SRR35496389_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/089/SRR35496389/SRR35496389_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/089/SRR35496389/SRR35496389_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/089/SRR35496389/SRR35496389_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/089/SRR35496389/SRR35496389_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/089/SRR35496389/SRR35496389_2.fastq.gz"
"SRX30572608","results/fastq/SRX30572608_SRR35496390_1.fastq.gz","results/fastq/SRX30572608_SRR35496390_2.fastq.gz","SRR35496390","SRX30572608","SAMN51585615","SRS26602052","PRJNA1330757","SRP621882","SRA2225931","GSM9246623_r2","GSM9246623_r1","GSM9246623","GSE308488","PAIRED","other","OTHER","RIP-Seq","GSM9246623","Illumina NovaSeq 6000","ILLUMINA","11767457180","38965090","10090","Mus musculus","MEF, mock, Z22, 1 [B256178]","Illumina NovaSeq 6000 sequencing: GSM9246623: MEF, mock, Z22, 1 [B256178] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, mock, Z22, 1 [B256178]","5fa2a1cf084d54327ce0bd677e3d3af6;fd76796d42538d07fd34b7cc4c8eb582","2377020738;2628524382","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/090/SRR35496390/SRR35496390_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/090/SRR35496390/SRR35496390_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/090/SRR35496390/SRR35496390_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/090/SRR35496390/SRR35496390_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/090/SRR35496390/SRR35496390_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/090/SRR35496390/SRR35496390_2.fastq.gz"
"SRX30572608","results/fastq/SRX30572608_SRR35496391_1.fastq.gz","results/fastq/SRX30572608_SRR35496391_2.fastq.gz","SRR35496391","SRX30572608","SAMN51585615","SRS26602052","PRJNA1330757","SRP621882","SRA2225931","GSM9246623_r3","GSM9246623_r1","GSM9246623","GSE308488","PAIRED","other","OTHER","RIP-Seq","GSM9246623","Illumina NovaSeq 6000","ILLUMINA","4198954546","13903823","10090","Mus musculus","MEF, mock, Z22, 1 [B256178]","Illumina NovaSeq 6000 sequencing: GSM9246623: MEF, mock, Z22, 1 [B256178] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, mock, Z22, 1 [B256178]","932eb59e68106939ba0f9a53b0599f67;770c2bd9116e2c32789ded5daae55279","894518783;928366876","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/091/SRR35496391/SRR35496391_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/091/SRR35496391/SRR35496391_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/091/SRR35496391/SRR35496391_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/091/SRR35496391/SRR35496391_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/091/SRR35496391/SRR35496391_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/091/SRR35496391/SRR35496391_2.fastq.gz"
"SRX30572608","results/fastq/SRX30572608_SRR35496392_1.fastq.gz","results/fastq/SRX30572608_SRR35496392_2.fastq.gz","SRR35496392","SRX30572608","SAMN51585615","SRS26602052","PRJNA1330757","SRP621882","SRA2225931","GSM9246623_r4","GSM9246623_r1","GSM9246623","GSE308488","PAIRED","other","OTHER","RIP-Seq","GSM9246623","Illumina NovaSeq 6000","ILLUMINA","4203489982","13918841","10090","Mus musculus","MEF, mock, Z22, 1 [B256178]","Illumina NovaSeq 6000 sequencing: GSM9246623: MEF, mock, Z22, 1 [B256178] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, mock, Z22, 1 [B256178]","1de22f32149d898bd300b130cba15302;eb9b199dd72c598ea00cabee30d152bd","898723544;930539812","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/092/SRR35496392/SRR35496392_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/092/SRR35496392/SRR35496392_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/092/SRR35496392/SRR35496392_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/092/SRR35496392/SRR35496392_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/092/SRR35496392/SRR35496392_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/092/SRR35496392/SRR35496392_2.fastq.gz"
"SRX30572609","results/fastq/SRX30572609_SRR35496385_1.fastq.gz","results/fastq/SRX30572609_SRR35496385_2.fastq.gz","SRR35496385","SRX30572609","SAMN51585614","SRS26602050","PRJNA1330757","SRP621882","SRA2225931","GSM9246624_r1","GSM9246624_r1","GSM9246624","GSE308488","PAIRED","other","OTHER","RIP-Seq","GSM9246624","Illumina NovaSeq 6000","ILLUMINA","11055281384","36606892","10090","Mus musculus","MEF, mock, FLAG, 1 [B256178]","Illumina NovaSeq 6000 sequencing: GSM9246624: MEF, mock, FLAG, 1 [B256178] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, mock, FLAG, 1 [B256178]","acc864246dd5219b69cc1b5179766f36;28ac6d463f022b4a332a7175b3e8443e","2324089322;2473284506","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/085/SRR35496385/SRR35496385_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/085/SRR35496385/SRR35496385_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/085/SRR35496385/SRR35496385_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/085/SRR35496385/SRR35496385_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/085/SRR35496385/SRR35496385_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/085/SRR35496385/SRR35496385_2.fastq.gz"
"SRX30572609","results/fastq/SRX30572609_SRR35496386_1.fastq.gz","results/fastq/SRX30572609_SRR35496386_2.fastq.gz","SRR35496386","SRX30572609","SAMN51585614","SRS26602050","PRJNA1330757","SRP621882","SRA2225931","GSM9246624_r2","GSM9246624_r1","GSM9246624","GSE308488","PAIRED","other","OTHER","RIP-Seq","GSM9246624","Illumina NovaSeq 6000","ILLUMINA","11462375270","37954885","10090","Mus musculus","MEF, mock, FLAG, 1 [B256178]","Illumina NovaSeq 6000 sequencing: GSM9246624: MEF, mock, FLAG, 1 [B256178] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, mock, FLAG, 1 [B256178]","08fc891098d0cf847bee2070c819fcb1;9a3ed4d21b96323c57a7de5b0c1bfb52","2430016396;2589788170","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/086/SRR35496386/SRR35496386_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/086/SRR35496386/SRR35496386_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/086/SRR35496386/SRR35496386_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/086/SRR35496386/SRR35496386_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/086/SRR35496386/SRR35496386_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/086/SRR35496386/SRR35496386_2.fastq.gz"
